IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
6,10.215.173.1,60992,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,5204,4335,10,12,2026-07-01T08:19:22.577+05:30,2026-07-01T08:19:22.970+05:30,
6,10.215.173.1,60996,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,5040,3973,10,11,2026-07-01T08:19:23.593+05:30,2026-07-01T08:19:37.747+05:30,
6,10.215.173.1,35350,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,3458,5625,10,11,2026-07-01T08:19:37.336+05:30,2026-07-01T08:19:37.704+05:30,
6,10.215.173.1,35360,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,1681,3830,9,10,2026-07-01T08:19:38.587+05:30,2026-07-01T08:19:39.821+05:30,
6,10.215.173.1,35376,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,5737,105375,29,34,2026-07-01T08:19:38.661+05:30,2026-07-01T08:19:40.742+05:30,
6,10.215.173.1,35392,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,19451,5621,11,11,2026-07-01T08:19:38.869+05:30,2026-07-01T08:19:39.310+05:30,
6,10.215.173.1,37902,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,22048,4085,11,11,2026-07-01T08:19:41.686+05:30,2026-07-01T08:19:42.110+05:30,
6,10.215.173.1,37912,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,4042,5897,9,11,2026-07-01T08:19:42.341+05:30,2026-07-01T08:19:42.716+05:30,
17,10.215.173.1,38199,10.215.173.2,53,10300,Mech Arena,com.plarium.mechlegion,DNS,Closed,cdn-gcp.x-plarium.com,67,106,1,1,2026-07-01T08:19:42.611+05:30,2026-07-01T08:19:42.626+05:30,
17,10.215.173.1,63560,10.215.173.2,53,10300,Mech Arena,com.plarium.mechlegion,DNS,Closed,cdn-gcp.x-plarium.com,67,83,1,1,2026-07-01T08:19:42.618+05:30,2026-07-01T08:19:42.626+05:30,
6,10.215.173.1,41196,34.120.37.77,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,cdn-gcp.x-plarium.com,3666,438959,73,150,2026-07-01T08:19:42.637+05:30,2026-07-01T08:19:42.790+05:30,
6,10.215.173.1,37918,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,3634,5905,10,11,2026-07-01T08:19:42.925+05:30,2026-07-01T08:19:43.368+05:30,
6,10.215.173.1,37930,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,5092,4251,10,11,2026-07-01T08:19:43.698+05:30,2026-07-01T08:19:44.201+05:30,
6,10.215.173.1,37934,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,5681,104942,28,30,2026-07-01T08:19:44.707+05:30,2026-07-01T08:19:53.291+05:30,
6,10.215.173.1,59840,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,3835,106546,18,34,2026-07-01T08:19:52.108+05:30,2026-07-01T08:19:53.280+05:30,
6,10.215.173.1,59848,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,3390,5584,9,10,2026-07-01T08:19:53.730+05:30,2026-07-01T08:19:54.098+05:30,
6,10.215.173.1,59860,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,4857,3934,9,10,2026-07-01T08:19:54.733+05:30,2026-07-01T08:20:10.766+05:30,
6,10.215.173.1,59868,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,3470,5894,9,11,2026-07-01T08:19:55.679+05:30,2026-07-01T08:19:56.048+05:30,
17,10.215.173.1,37793,10.215.173.2,53,10300,Mech Arena,com.plarium.mechlegion,DNS,Closed,arnint1s03.ma-plrm.com,68,100,1,1,2026-07-01T08:20:10.401+05:30,2026-07-01T08:20:10.418+05:30,
6,10.215.173.1,54674,172.64.153.245,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,1721,3872,10,11,2026-07-01T08:20:10.422+05:30,2026-07-01T08:20:10.753+05:30,
6,10.215.173.1,35868,172.64.153.245,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,5417,5817,11,13,2026-07-01T08:20:10.503+05:30,2026-07-01T08:20:10.887+05:30,
6,10.215.173.1,35880,172.64.153.245,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,3505,5666,11,12,2026-07-01T08:20:10.896+05:30,2026-07-01T08:20:11.368+05:30,
6,10.215.173.1,35884,172.64.153.245,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,5000,4143,9,10,2026-07-01T08:20:11.892+05:30,2026-07-01T08:20:13.470+05:30,
6,10.215.173.1,35900,172.64.153.245,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,4935,3911,9,10,2026-07-01T08:20:13.901+05:30,2026-07-01T08:20:15.353+05:30,
6,10.215.173.1,35904,172.64.153.245,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,4935,3932,9,10,2026-07-01T08:20:15.910+05:30,2026-07-01T08:20:16.773+05:30,
17,10.215.173.1,22169,10.215.173.2,53,10300,Mech Arena,com.plarium.mechlegion,DNS,Closed,arnint1s07.ma-plrm.com,68,100,1,1,2026-07-01T08:20:16.247+05:30,2026-07-01T08:20:16.258+05:30,
6,10.215.173.1,58352,104.18.34.11,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s07.ma-plrm.com,1757,3872,10,11,2026-07-01T08:20:16.262+05:30,2026-07-01T08:20:17.076+05:30,
6,10.215.173.1,35918,172.64.153.245,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,1681,3832,9,10,2026-07-01T08:20:16.273+05:30,2026-07-01T08:20:16.605+05:30,
6,10.215.173.1,35924,172.64.153.245,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,4975,4222,10,12,2026-07-01T08:20:16.917+05:30,2026-07-01T08:20:17.527+05:30,
6,10.215.173.1,35930,172.64.153.245,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,3465,5827,10,11,2026-07-01T08:20:17.304+05:30,2026-07-01T08:20:17.664+05:30,
6,10.215.173.1,35938,172.64.153.245,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,6015,105386,36,42,2026-07-01T08:20:17.927+05:30,2026-07-01T08:20:19.303+05:30,
6,10.215.173.1,46064,34.93.190.157,80,10300,Mech Arena,com.plarium.mechlegion,HTTP,Closed,,586,3736,7,6,2026-07-01T08:20:19.589+05:30,2026-07-01T08:20:19.689+05:30,
6,10.215.173.1,35948,172.64.153.245,443,10300,Mech Arena,com.plarium.mechlegion,HTTPS,Closed,arnint1s03.ma-plrm.com,3425,5583,9,10,2026-07-01T08:20:19.816+05:30,2026-07-01T08:20:20.198+05:30,
17,10.215.173.1,51033,34.93.190.157,7015,10300,Mech Arena,com.plarium.mechlegion,UDP,Active,,45336,45597,695,701,2026-07-01T08:20:23.796+05:30,2026-07-01T08:21:13.923+05:30,
